Geo_FILEID	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_PUMA5	Geo_GEOID	Geo_NAME	Geo_BTTR	Geo_BTBG	Geo_QName	Geo_FIPS	Geo_AREALAND	Geo_AREAWATR	Geo_PLACESE	Geo_UACP	Geo_VTD	Geo_ZCTA3	Geo_TAZ	Geo_UGA	Geo_PUMA1	SE_A00001_001	SE_A00002_001	SE_A00002_002	SE_A00002_003	SE_A12001_001	SE_A12001_002	SE_A12001_003	SE_A12001_004	SE_A12001_005	SE_A12001_006	SE_A12001_007	SE_A12001_008	SE_B12001_001	SE_B12001_002	SE_B12001_003	SE_B12001_004	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008	SE_A14006_001	SE_A09005_001	SE_A09005_002	SE_A09005_009	SE_A09005_010	SE_A09005_003	SE_A09005_004	SE_A09005_005	SE_A09005_006	SE_A09005_007	SE_A09005_008	SE_A09001_001	SE_A09001_002	SE_A09001_003	SE_A09001_004	SE_A09001_005	SE_A09001_006	SE_A09001_007	SE_A09001_008	SE_A09001_009	SE_A09001_010	SE_A09003_001	SE_A10030_001	SE_A10030_002	SE_A10030_003	SE_A10030_004	SE_A10030_005	SE_A10030_006	SE_A10030_007
"ACSSF"	"ny"	"140"	"00"	"0004950"	""	""	""	""	"36"	"047"	""	""	"026600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047026600"	"Census Tract 266"	""	""	"Census Tract 266, Kings County, New York"	"36047026600"	"165897"	"0"	""	""	""	""	""	""	""	3662	3662	57171.23	0.0640531925244441	2503	1026	388	350	593	91	55	0	2503	1026	738	739	2503	1026	1477	1089	739	146	55	0	45893	1619	473	377	96	769	0	16	290	0	71	1619	1548	50	222	321	102	324	440	89	71	41	1116	549	336	207	24	0	0
"ACSSF"	"ny"	"140"	"00"	"0004951"	""	""	""	""	"36"	"047"	""	""	"026700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047026700"	"Census Tract 267"	""	""	"Census Tract 267, Kings County, New York"	"36047026700"	"159563"	"0"	""	""	""	""	""	""	""	4533	4533	73578.56	0.0616076213480526	3748	287	548	833	1300	586	165	29	3748	287	1381	2080	3748	287	3461	2913	2080	780	194	29	96618	2559	388	373	15	1256	0	298	106	22	489	2559	2070	19	169	362	309	712	366	133	489	43	1932	1223	561	127	21	0	0
"ACSSF"	"ny"	"140"	"00"	"0004952"	""	""	""	""	"36"	"047"	""	""	"026800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047026800"	"Census Tract 268"	""	""	"Census Tract 268, Kings County, New York"	"36047026800"	"178968"	"0"	""	""	""	""	""	""	""	4917	4917	71157.81	0.0690999340537485	3537	961	1048	431	827	233	37	0	3537	961	1479	1097	3537	961	2576	1528	1097	270	37	0	77716	2246	722	541	181	966	0	302	206	8	42	2246	2204	84	402	172	579	336	513	118	42	40	1554	632	653	232	20	17	0
"ACSSF"	"ny"	"140"	"00"	"0004953"	""	""	""	""	"36"	"047"	""	""	"026900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047026900"	"Census Tract 269"	""	""	"Census Tract 269, Kings County, New York"	"36047026900"	"133946"	"0"	""	""	""	""	""	""	""	3249	3249	62822.86	0.051716841931314	2472	174	374	561	987	366	0	10	2472	174	935	1363	2472	174	2298	1924	1363	376	10	10	90962	1822	271	254	17	1167	0	0	229	0	155	1822	1667	12	238	144	341	522	357	53	155	42	1222	722	368	115	17	0	0
"ACSSF"	"ny"	"140"	"00"	"0004954"	""	""	""	""	"36"	"047"	""	""	"027000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027000"	"Census Tract 270"	""	""	"Census Tract 270, Kings County, New York"	"36047027000"	"134003"	"0"	""	""	""	""	""	""	""	2519	2519	48686.82	0.0517388497552884	1664	268	446	311	410	164	50	15	1664	268	757	639	1664	268	1396	950	639	229	65	15	33611	1011	315	195	120	422	0	0	129	15	130	1011	881	42	165	123	66	162	227	96	130	42	870	338	394	120	18	0	0
"ACSSF"	"ny"	"140"	"00"	"0004955"	""	""	""	""	"36"	"047"	""	""	"027100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027100"	"Census Tract 271"	""	""	"Census Tract 271, Kings County, New York"	"36047027100"	"245353"	"0"	""	""	""	""	""	""	""	3553	3553	37506.07	0.0947313269405109	2346	371	630	464	563	209	94	15	2346	371	1094	881	2346	371	1975	1345	881	318	109	15	68750	1684	346	304	42	688	0	37	93	0	520	1684	1164	55	54	216	300	246	199	94	520	41	1264	770	386	99	9	0	0
"ACSSF"	"ny"	"140"	"00"	"0004956"	""	""	""	""	"36"	"047"	""	""	"027200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027200"	"Census Tract 272"	""	""	"Census Tract 272, Kings County, New York"	"36047027200"	"132147"	"0"	""	""	""	""	""	""	""	3803	3803	74536.12	0.0510222441185056	2931	988	650	620	359	253	29	32	2931	988	1270	673	2931	988	1943	1293	673	314	61	32	71174	1707	581	500	81	799	0	0	109	0	218	1707	1489	6	148	237	282	343	415	58	218	42	1391	579	564	210	23	15	0
"ACSSF"	"ny"	"140"	"00"	"0004957"	""	""	""	""	"36"	"047"	""	""	"027300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027300"	"Census Tract 273"	""	""	"Census Tract 273, Kings County, New York"	"36047027300"	"149705"	"0"	""	""	""	""	""	""	""	3899	3899	67455.09	0.0578014261069935	2874	235	779	732	641	438	33	16	2874	235	1511	1128	2874	235	2639	1860	1128	487	49	16	78555	1738	505	450	55	820	0	68	15	0	330	1738	1408	0	195	137	313	507	166	90	330	42	1393	653	569	113	16	42	0
"ACSSF"	"ny"	"140"	"00"	"0004958"	""	""	""	""	"36"	"047"	""	""	"027400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027400"	"Census Tract 274"	""	""	"Census Tract 274, Kings County, New York"	"36047027400"	"163364"	"0"	""	""	""	""	""	""	""	3412	3412	54094.16	0.0630751957151925	2456	1221	422	368	279	130	26	10	2456	1221	790	445	2456	1221	1235	813	445	166	36	10	52551	1288	376	224	152	655	0	0	124	37	96	1288	1192	94	115	60	147	269	441	66	96	47	920	398	271	205	33	13	0
"ACSSF"	"ny"	"140"	"00"	"0004959"	""	""	""	""	"36"	"047"	""	""	"027500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027500"	"Census Tract 275"	""	""	"Census Tract 275, Kings County, New York"	"36047027500"	"162077"	"0"	""	""	""	""	""	""	""	5031	5031	80395.3	0.0625782822159794	3990	341	1280	662	1047	575	76	9	3990	341	1942	1707	3990	341	3649	2369	1707	660	85	9	89464	2474	271	232	39	1676	0	186	83	0	258	2474	2216	39	100	248	435	833	484	77	258	44	1865	1162	627	50	0	26	0
"ACSSF"	"ny"	"140"	"00"	"0004960"	""	""	""	""	"36"	"047"	""	""	"027600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027600"	"Census Tract 276"	""	""	"Census Tract 276, Kings County, New York"	"36047027600"	"149396"	"0"	""	""	""	""	""	""	""	3996	3996	69276.23	0.0576821205349214	2850	937	784	425	508	196	0	0	2850	937	1209	704	2850	937	1913	1129	704	196	0	0	56652	1830	427	285	142	938	0	44	261	0	160	1830	1670	69	418	174	163	370	342	134	160	39	1354	577	609	128	40	0	0
"ACSSF"	"ny"	"140"	"00"	"0004961"	""	""	""	""	"36"	"047"	""	""	"027700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027700"	"Census Tract 277"	""	""	"Census Tract 277, Kings County, New York"	"36047027700"	"162108"	"0"	""	""	""	""	""	""	""	4473	4473	71464.8	0.0625902513834041	3024	408	644	702	916	306	41	7	3024	408	1346	1270	3024	408	2616	1972	1270	354	48	7	62813	1949	600	564	36	1089	0	68	55	0	137	1949	1812	41	200	205	485	335	446	100	137	41	1652	1000	459	181	12	0	0
"ACSSF"	"ny"	"140"	"00"	"0004962"	""	""	""	""	"36"	"047"	""	""	"027800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027800"	"Census Tract 278"	""	""	"Census Tract 278, Kings County, New York"	"36047027800"	"160472"	"0"	""	""	""	""	""	""	""	3337	3337	53858.55	0.0619585882251192	2315	522	592	512	466	137	65	21	2315	522	1104	689	2315	522	1793	1201	689	223	86	21	61975	1613	334	292	42	1073	0	8	143	15	40	1613	1573	48	175	84	171	333	692	70	40	47	1160	574	404	104	78	0	0
"ACSSF"	"ny"	"140"	"00"	"0004963"	""	""	""	""	"36"	"047"	""	""	"027900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047027900"	"Census Tract 279"	""	""	"Census Tract 279, Kings County, New York"	"36047027900"	"161924"	"0"	""	""	""	""	""	""	""	3459	3459	55327	0.0625192085832058	2615	345	349	619	860	313	89	40	2615	345	968	1302	2615	345	2270	1921	1302	442	129	40	77220	1877	529	409	120	951	0	95	35	73	194	1877	1683	17	206	63	410	535	351	101	194	42	1571	866	599	106	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0004964"	""	""	""	""	"36"	"047"	""	""	"028000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028000"	"Census Tract 280"	""	""	"Census Tract 280, Kings County, New York"	"36047028000"	"139723"	"55041"	""	""	""	""	""	""	""	1946	1946	36072.2	0.0539473541962357	1467	358	400	211	336	129	5	28	1467	358	611	498	1467	358	1109	709	498	162	33	28	86509	916	274	246	28	481	0	8	62	7	84	916	832	4	50	150	151	131	294	52	84	48	651	228	308	88	27	0	0
"ACSSF"	"ny"	"140"	"00"	"0004965"	""	""	""	""	"36"	"047"	""	""	"028100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028100"	"Census Tract 281"	""	""	"Census Tract 281, Kings County, New York"	"36047028100"	"161938"	"0"	""	""	""	""	""	""	""	5175	5175	82767.41	0.0625246140136557	3064	645	923	584	635	253	10	14	3064	645	1507	912	3064	645	2419	1496	912	277	24	14	37243	2306	235	235	0	1477	0	151	108	79	256	2306	2050	45	156	294	307	506	664	78	256	45	1777	1389	307	66	15	0	0
"ACSSF"	"ny"	"140"	"00"	"0004966"	""	""	""	""	"36"	"047"	""	""	"028200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028200"	"Census Tract 282"	""	""	"Census Tract 282, Kings County, New York"	"36047028200"	"169389"	"73215"	""	""	""	""	""	""	""	3623	3623	55396.32	0.0654014613195119	2600	595	726	450	545	205	50	29	2600	595	1176	829	2600	595	2005	1279	829	284	79	29	55644	1567	456	359	97	851	0	9	85	0	166	1567	1401	9	122	192	138	236	454	250	166	51	1275	448	553	250	24	0	0
"ACSSF"	"ny"	"140"	"00"	"0004967"	""	""	""	""	"36"	"047"	""	""	"028300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028300"	"Census Tract 283"	""	""	"Census Tract 283, Kings County, New York"	"36047028300"	"121876"	"0"	""	""	""	""	""	""	""	4015	4015	85322.8	0.0470565886791753	2773	643	655	561	666	234	14	0	2773	643	1216	914	2773	643	2130	1475	914	248	14	0	40559	1477	280	280	0	996	0	21	55	0	125	1477	1352	47	148	123	290	418	283	43	125	40	1506	1091	395	20	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0004968"	""	""	""	""	"36"	"047"	""	""	"028400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028400"	"Census Tract 284"	""	""	"Census Tract 284, Kings County, New York"	"36047028400"	"164257"	"0"	""	""	""	""	""	""	""	3614	3614	56985.19	0.0634199849574593	2715	468	781	173	833	362	98	0	2715	468	954	1293	2715	468	2247	1466	1293	460	98	0	63009	1550	561	480	81	695	0	0	203	0	91	1550	1459	26	344	113	223	465	187	101	91	39	1384	666	516	175	27	0	0
"ACSSF"	"ny"	"140"	"00"	"0004969"	""	""	""	""	"36"	"047"	""	""	"028501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028501"	"Census Tract 285.01"	""	""	"Census Tract 285.01, Kings County, New York"	"36047028501"	"83218"	"0"	""	""	""	""	""	""	""	356	356	11079.76	0.0321306507983821	297	81	25	55	98	17	13	8	297	81	80	136	297	81	216	191	136	38	21	8	50278	229	20	20	0	185	0	5	8	0	11	229	218	8	0	17	57	114	17	5	11	40	164	152	12	0	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0004970"	""	""	""	""	"36"	"047"	""	""	"028502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028502"	"Census Tract 285.02"	""	""	"Census Tract 285.02, Kings County, New York"	"36047028502"	"119859"	"0"	""	""	""	""	""	""	""	3173	3173	68564.16	0.046277820592219	2220	504	935	664	73	44	0	0	2220	504	1599	117	2220	504	1716	781	117	44	0	0	40456	1235	101	67	34	1092	0	0	0	6	36	1235	1199	0	68	95	161	558	220	97	36	51	1125	975	76	74	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0004971"	""	""	""	""	"36"	"047"	""	""	"028600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028600"	"Census Tract 286"	""	""	"Census Tract 286, Kings County, New York"	"36047028600"	"176618"	"58184"	""	""	""	""	""	""	""	5797	5797	85009.23	0.0681925939425202	3560	659	734	796	844	481	15	31	3560	659	1530	1371	3560	659	2901	2167	1371	527	46	31	42024	2189	526	499	27	1285	0	0	120	12	246	2189	1943	30	100	188	416	401	568	240	246	50	1918	1007	826	85	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0004972"	""	""	""	""	"36"	"047"	""	""	"028700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028700"	"Census Tract 287"	""	""	"Census Tract 287, Kings County, New York"	"36047028700"	"148811"	"0"	""	""	""	""	""	""	""	3488	3488	60707.06	0.0574562507625518	2364	333	657	434	681	245	14	0	2364	333	1091	940	2364	333	2031	1374	940	259	14	0	57321	1614	377	152	225	849	0	42	134	0	212	1614	1402	49	136	218	355	333	206	105	212	41	1250	846	270	78	56	0	0
"ACSSF"	"ny"	"140"	"00"	"0004973"	""	""	""	""	"36"	"047"	""	""	"028800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028800"	"Census Tract 288"	""	""	"Census Tract 288, Kings County, New York"	"36047028800"	"152808"	"0"	""	""	""	""	""	""	""	3703	3703	62763.24	0.0589995011559899	2666	672	806	301	636	224	10	17	2666	672	1107	887	2666	672	1994	1188	887	251	27	17	63625	1664	307	239	68	1030	0	0	137	0	190	1664	1474	19	193	89	354	320	401	98	190	43	1102	522	436	120	19	0	5
"ACSSF"	"ny"	"140"	"00"	"0004974"	""	""	""	""	"36"	"047"	""	""	"028900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047028900"	"Census Tract 289"	""	""	"Census Tract 289, Kings County, New York"	"36047028900"	"165739"	"0"	""	""	""	""	""	""	""	3782	3782	59100.96	0.0639921883807956	2647	495	842	425	550	335	0	0	2647	495	1267	885	2647	495	2152	1310	885	335	0	0	38750	1900	642	488	154	802	0	172	121	0	163	1900	1737	29	59	167	706	462	264	50	163	39	1457	952	285	190	30	0	0
"ACSSF"	"ny"	"140"	"00"	"0004975"	""	""	""	""	"36"	"047"	""	""	"029000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029000"	"Census Tract 290"	""	""	"Census Tract 290, Kings County, New York"	"36047029000"	"154712"	"0"	""	""	""	""	""	""	""	3852	3852	64485.2	0.0597346396971723	2482	293	482	412	660	572	54	9	2482	293	894	1295	2482	293	2189	1707	1295	635	63	9	44070	1228	407	351	56	565	0	0	184	27	45	1228	1183	125	94	143	194	212	318	97	45	43	1558	942	508	108	0	0	0
"ACSSF"	"ny"	"140"	"00"	"0004976"	""	""	""	""	"36"	"047"	""	""	"029100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029100"	"Census Tract 291"	""	""	"Census Tract 291, Kings County, New York"	"36047029100"	"164644"	"0"	""	""	""	""	""	""	""	3525	3525	55451.2	0.0635694064991807	2885	131	673	644	705	686	46	0	2885	131	1317	1437	2885	131	2754	2081	1437	732	46	0	87917	2225	390	304	86	1303	0	4	165	15	348	2225	1877	19	111	282	275	715	256	219	348	45	1377	854	351	152	20	0	0
"ACSSF"	"ny"	"140"	"00"	"0004977"	""	""	""	""	"36"	"047"	""	""	"029200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029200"	"Census Tract 292"	""	""	"Census Tract 292, Kings County, New York"	"36047029200"	"205508"	"91737"	""	""	""	""	""	""	""	2766	2766	34859.5	0.0793470857780036	2052	525	504	300	443	196	52	32	2052	525	804	723	2052	525	1527	1023	723	280	84	32	41827	1095	222	190	32	719	17	0	59	11	67	1095	1028	18	57	62	129	208	372	182	67	54	1027	584	363	75	5	0	0
"ACSSF"	"ny"	"140"	"00"	"0004978"	""	""	""	""	"36"	"047"	""	""	"029300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029300"	"Census Tract 293"	""	""	"Census Tract 293, Kings County, New York"	"36047029300"	"164460"	"0"	""	""	""	""	""	""	""	3553	3553	55954.2	0.0634983636989824	2393	342	651	760	359	218	45	18	2393	342	1411	640	2393	342	2051	1400	640	281	63	18	47375	1567	311	228	83	1005	0	12	90	11	138	1567	1429	2	39	107	391	577	296	17	138	43	1412	944	347	95	18	0	8
"ACSSF"	"ny"	"140"	"00"	"0004979"	""	""	""	""	"36"	"047"	""	""	"029400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029400"	"Census Tract 294"	""	""	"Census Tract 294, Kings County, New York"	"36047029400"	"188664"	"63389"	""	""	""	""	""	""	""	2614	2614	35885.11	0.072843580742459	2050	535	639	387	288	139	32	30	2050	535	1026	489	2050	535	1515	876	489	201	62	30	66146	902	223	201	22	468	0	0	109	0	102	902	800	70	61	30	77	116	388	58	102	49	677	289	349	34	5	0	0
"ACSSF"	"ny"	"140"	"00"	"0004980"	""	""	""	""	"36"	"047"	""	""	"029500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029500"	"Census Tract 295"	""	""	"Census Tract 295, Kings County, New York"	"36047029500"	"164586"	"0"	""	""	""	""	""	""	""	4113	4113	64723.73	0.0635470125730312	3132	108	581	535	1087	700	62	59	3132	108	1116	1908	3132	108	3024	2443	1908	821	121	59	80197	2129	337	292	45	1444	0	13	59	21	255	2129	1874	65	49	62	281	855	446	116	255	47	1865	819	941	74	31	0	0
"ACSSF"	"ny"	"140"	"00"	"0004981"	""	""	""	""	"36"	"047"	""	""	"029600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029600"	"Census Tract 296"	""	""	"Census Tract 296, Kings County, New York"	"36047029600"	"214120"	"0"	""	""	""	""	""	""	""	6037	6037	73023.34	0.0826721977090241	4238	697	898	1048	1118	415	62	0	4238	697	1946	1595	4238	697	3541	2643	1595	477	62	0	53825	2498	312	300	12	1553	0	61	374	0	198	2498	2300	145	255	181	337	649	274	459	198	48	2077	1049	872	135	21	0	0
"ACSSF"	"ny"	"140"	"00"	"0004982"	""	""	""	""	"36"	"047"	""	""	"029700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029700"	"Census Tract 297"	""	""	"Census Tract 297, Kings County, New York"	"36047029700"	"205561"	"0"	""	""	""	""	""	""	""	4761	4761	59986.73	0.0793675491932781	3396	392	822	656	754	595	165	12	3396	392	1478	1526	3396	392	3004	2182	1526	772	177	12	85577	2323	383	353	30	1527	0	31	72	0	310	2323	2013	0	230	212	516	688	264	103	310	41	1808	978	662	114	27	12	15
"ACSSF"	"ny"	"140"	"00"	"0004983"	""	""	""	""	"36"	"047"	""	""	"029800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029800"	"Census Tract 298"	""	""	"Census Tract 298, Kings County, New York"	"36047029800"	"220827"	"0"	""	""	""	""	""	""	""	4387	4387	51453.3	0.0852617849966872	2749	565	881	401	593	181	32	96	2749	565	1282	902	2749	565	2184	1303	902	309	128	96	59242	1694	619	443	176	683	0	22	226	31	113	1694	1581	8	179	355	122	445	377	95	113	43	1148	335	552	224	21	8	8
"ACSSF"	"ny"	"140"	"00"	"0004984"	""	""	""	""	"36"	"047"	""	""	"029900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047029900"	"Census Tract 299"	""	""	"Census Tract 299, Kings County, New York"	"36047029900"	"142218"	"0"	""	""	""	""	""	""	""	2431	2431	44271.9	0.0549106791228376	1682	224	630	321	292	194	15	6	1682	224	951	507	1682	224	1458	828	507	215	21	6	54719	974	80	80	0	642	0	0	106	0	146	974	828	40	69	87	207	225	173	27	146	39	875	604	185	70	16	0	0
"ACSSF"	"ny"	"140"	"00"	"0004985"	""	""	""	""	"36"	"047"	""	""	"030000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047030000"	"Census Tract 300"	""	""	"Census Tract 300, Kings County, New York"	"36047030000"	"195051"	"0"	""	""	""	""	""	""	""	4415	4415	58624.65	0.0753096153341251	2957	579	930	785	474	169	13	7	2957	579	1715	663	2957	579	2378	1448	663	189	20	7	64881	2147	366	339	27	1506	25	0	170	0	80	2147	2067	38	160	116	400	520	665	168	80	47	1376	651	590	101	14	20	0
"ACSSF"	"ny"	"140"	"00"	"0004986"	""	""	""	""	"36"	"047"	""	""	"030100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047030100"	"Census Tract 301"	""	""	"Census Tract 301, Kings County, New York"	"36047030100"	"194435"	"0"	""	""	""	""	""	""	""	3350	3350	44623.96	0.0750717763943308	2470	295	651	670	572	92	174	16	2470	295	1321	854	2470	295	2175	1524	854	282	190	16	95530	1620	335	306	29	1152	0	75	22	0	36	1620	1584	15	168	228	98	651	299	125	36	45	1142	544	444	105	22	12	15
"ACSSF"	"ny"	"140"	"00"	"0004987"	""	""	""	""	"36"	"047"	""	""	"030200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047030200"	"Census Tract 302"	""	""	"Census Tract 302, Kings County, New York"	"36047030200"	"211197"	"0"	""	""	""	""	""	""	""	4448	4448	54547.49	0.0815436210515261	3465	746	1051	632	780	226	23	7	3465	746	1683	1036	3465	746	2719	1668	1036	256	30	7	76625	1959	472	376	96	1075	9	20	151	0	232	1959	1727	100	135	364	164	383	427	154	232	44	1369	306	603	415	38	0	7
"ACSSF"	"ny"	"140"	"00"	"0004988"	""	""	""	""	"36"	"047"	""	""	"030300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047030300"	"Census Tract 303"	""	""	"Census Tract 303, Kings County, New York"	"36047030300"	"253583"	"0"	""	""	""	""	""	""	""	5007	5007	51139.35	0.097908947840685	3429	798	1084	953	419	151	24	0	3429	798	2037	594	3429	798	2631	1547	594	175	24	0	38308	1744	181	163	18	1279	0	14	176	12	82	1744	1662	85	249	116	452	218	416	126	82	41	2112	1687	298	113	14	0	0
"ACSSF"	"ny"	"140"	"00"	"0004989"	""	""	""	""	"36"	"047"	""	""	"030400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047030400"	"Census Tract 304"	""	""	"Census Tract 304, Kings County, New York"	"36047030400"	"465276"	"362966"	""	""	""	""	""	""	""	4547	4547	25311.16	0.179644075571007	3171	605	1023	548	621	273	90	11	3171	605	1571	995	3171	605	2566	1543	995	374	101	11	48929	1710	532	449	83	945	0	0	65	15	153	1710	1557	69	142	116	126	358	645	101	153	49	1658	625	726	299	8	0	0
"ACSSF"	"ny"	"140"	"00"	"0004990"	""	""	""	""	"36"	"047"	""	""	"030500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"14000US36047030500"	"Census Tract 305"	""	""	"Census Tract 305, Kings County, New York"	"36047030500"	"322516"	"0"	""	""	""	""	""	""	""	7144	7144	57370.41	0.124524129069324	5805	705	529	796	2326	1298	145	6	5805	705	1325	3775	5805	705	5100	4571	3775	1449	151	6	112854	4667	595	504	91	2379	0	226	262	128	1077	4667	3590	32	201	446	961	1357	466	127	1077	41	3053	1959	964	130	0	0	0
